ID,Title,type,address,valor,city,bedrooms,short_description,about_constructions,mapa,confort,vacancies,investments_repeater,imagem_principal,status
230913,"Demais Bela Vista",apartamento,"R. José Gimenes Gomes, 294 - Vila Osasco, Osasco - SP","R$315.000,00",osasco,"a:1:{i:0;s:9:""2-quartos"";}","Você com Tudo Morando no Bela Vista!","DeMais é poder morar no melhor do Bela Vista!","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7315.84796023129!2d-46.78835240737586!3d-23.5352364652708!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x94ceff3900ee23e5%3A0xd4931db822c1c76a!2sDemais%20Bela%20Vista!5e0!3m2!1spt-BR!2sbr!4v1699364320969!5m2!1spt-BR!2sbr"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",2,"a:1:{i:0;s:6:""1-vaga"";}",3,230920,"a:1:{i:0;s:7:""em-obra"";}"
230948,Seleto,apartamento,"R. Ana Ventura Nitão, 288 - Ayrosa, Osasco - SP","R$ 280.000,00",osasco,"a:2:{i:0;s:8:""1-quarto"";i:1;s:9:""2-quartos"";}","O melhor de Osasco, perto de você.","O que era bom, agora ficou ainda melhor, morando perto de tudo.

O Seleto combina com o seu estilo, seja ele qual for. O projeto único na região, confere exclusividade e segurança. Desde a sua portaria, combina as mais modernas  tendências arquitetônicas em edifícios residenciais aos mais eficientes conceitos em privacidade, conforto e excelente localização conferindo ao conjunto personalidade única. ","<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14633.450542641707!2d-46.7712613!3d-23.5194561!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x94ceff964bac39ad%3A0xfee538abe3288036!2sSeleto%20Residencial%20Clube!5e0!3m2!1spt-BR!2sbr!4v1699379582645!5m2!1spt-BR!2sbr"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",,"a:1:{i:0;s:6:""1-vaga"";}",2,230957,"a:1:{i:0;s:7:""em-obra"";}"
230964,"Saldanha Park 650",apartamento,"R. Antônio José Nurchis, 650 - Vila Yolanda, Osasco - SP, 06124-080","R$ 265.000,00",osasco,"a:2:{i:0;s:8:""1-quarto"";i:1;s:9:""2-quartos"";}","Perto de tudo o que você quer perto.","Uma região predominantemente residencial, mas que oferece em seu entorno uma variada infraestrutura de comércio e serviços.","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3657.5408031592383!2d-46.79890272582563!3d-23.54901286113641!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x94ceff233839ca7b%3A0xaff6658f22c6219!2sPark%20650!5e0!3m2!1spt-BR!2sbr!4v1699382193430!5m2!1spt-BR!2sbr"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",,"a:1:{i:0;s:6:""1-vaga"";}",4,230966,"a:1:{i:0;s:7:""em-obra"";}"
230983,"Canvas HUB 111",apartamento,"R. Manoel José de Santana, 111 - Vila Yara, São Paulo - SP, 06020-060","R$ 520.000,00",osasco,"a:2:{i:0;s:9:""2-quartos"";i:1;s:9:""3-quartos"";}","Próximo de importantes pontos da cidade.","Com otimização de espaço, cada detalhe é cuidadosamente projetado para oferecer bem-estar e conforto à sua família. ","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3657.5068699098474!2d-46.759052499999996!3d-23.5502325!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x94ceff59b1249311%3A0x2af8e4429ee40f35!2sR.%20Manoel%20Jos%C3%A9%20de%20Santana%2C%20111%20-%20Vila%20Yara%2C%20S%C3%A3o%20Paulo%20-%20SP%2C%2006020-060!5e0!3m2!1spt-BR!2sbr!4v1699389425964!5m2!1spt-BR!2sbr"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",6,"a:1:{i:0;s:6:""1-vaga"";}",3,230985,"a:1:{i:0;s:16:""breve-lancamento"";}"
231017,"Ekko Yard",apartamento,"Rua Conde Luiz Eduardo Matarazzo, Vila São Francisco, Osasco-SP","R$ 2.900.000,00",osasco,"a:2:{i:0;s:9:""3-quartos"";i:1;s:9:""4-quartos"";}","A sua melhor oportunidade de viver junto a natureza.","Um empreendimento com conforto, segurança em uma localização privilegiada. 
Afinal, somos parte de tudo aquilo que chamamos de natureza.","<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d578.2522755325228!2d-46.76080415122229!3d-23.56349118112546!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x94ce55ee26e28223%3A0xe42ab4f9dbe2d66d!2sR.%20Lopez%20Portana%20-%20Rio%20Pequeno%2C%20S%C3%A3o%20Paulo%20-%20SP!5e0!3m2!1spt-BR!2sbr!4v1699402840349!5m2!1spt-BR!2sbr"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",14,"a:1:{i:0;s:7:""4-vagas"";}",1,231034,"a:1:{i:0;s:16:""breve-lancamento"";}"
231041,"Zatz Vitrine",apartamento,"R. João Alves Pedroso, 258 - Santa Maria, Osasco - SP","R$ 230.000,00",osasco,"a:1:{i:0;s:9:""2-quartos"";}",Surpreenda-se,"Quando algo é muito belo, dizemos que merecia estar numa vitrine. 
Prepare-se, você vai se surpreender com o Vitrine by Zatz um verdadeiro clube de morar.","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3656.8961176829!2d-46.8128261235997!3d-23.5721741619917!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x94ceff66cfaa07e5%3A0xfe2afdd1261826ab!2sVitrine%20by%20Zatz!5e0!3m2!1spt-BR!2sbr!4v1699459828895!5m2!1spt-BR!2sbr"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",3,"a:1:{i:0;s:6:""1-vaga"";}",1,231059,"a:1:{i:0;s:7:""em-obra"";}"
231061,"Zatz Advanced",apartamento,"Av. Santo Antônio, 745 - Vila Osasco, Osasco - SP","R$ 280.000,00",osasco,"a:2:{i:0;s:9:""2-quartos"";i:1;s:8:""1-quarto"";}",Surpreenda-se,"Tenha o privilégio de morar com estilo, segurança, conforto e muita diversão deste autêntico resort no desejado bairro do Bela Vista.","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3657.882689372282!2d-46.78788232360074!3d-23.5367213606894!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x94ceffc0e9d9597b%3A0xaffdbd0c95f3395b!2sAdvanced%20by%20Zatz!5e0!3m2!1spt-BR!2sbr!4v1699461608010!5m2!1spt-BR!2sbr"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",3,"a:1:{i:0;s:6:""1-vaga"";}",2,231087,"a:1:{i:0;s:7:""em-obra"";}"
231088,"Ekko Live 3 e 4 Alpha - Casas",casa,"Av. Honório Álvares Penteado, 2016 - Colinas da Anhanguera, Santana de Parnaíba - SP","R$ 2.057.000,00",santana-do-parnaiba,"a:2:{i:0;s:9:""2-quartos"";i:1;s:9:""3-quartos"";}","O equilíbrio perfeito entre o luxo e a natureza","Casa e Apartamentos. Conceito de condomínio clube com casas gourmet, apartamentos e coberturas duplex. O cuidado e a consideração de todos os aspectos que fazem deste empreendimento algo único e especial. Ele se destaca a ênfase na experiência sensorial e emocional que os terão ao viver aqui, representando o cuidado e atenção que foi dedicada para criar um ambiente que estimule os sentidos.","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3660.208831658445!2d-46.84071412430448!3d-23.45293055761827!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x94cefdd3f1110261%3A0x80bbcc5f384ca747!2sEkko%20Live%203%20Alphaville!5e0!3m2!1spt-BR!2sbr!4v1699552144662!5m2!1spt-BR!2sbr"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",20,"a:3:{i:0;s:7:""3-vagas"";i:1;s:7:""2-vagas"";i:2;s:6:""1-vaga"";}",1,231128,"a:1:{i:0;s:7:""em-obra"";}"
231140,"Ekko Live 3 e 4 Alpha - Apartamentos",apartamento,"Av. Honório Álvares Penteado, 2016 - Colinas da Anhanguera, Santana de Parnaíba - SP","R$ 1.254.000,00",santana-do-parnaiba,"a:3:{i:0;s:9:""2-quartos"";i:1;s:9:""3-quartos"";i:2;s:9:""4-quartos"";}","O equilíbrio perfeito entre o luxo e a natureza","Casa e Apartamentos. Conceito de condomínio clube com casas gourmet, apartamentos e coberturas duplex. O cuidado e a consideração de todos os aspectos que fazem deste empreendimento algo único e especial. Ele se destaca a ênfase na experiência sensorial e emocional que os terão ao viver aqui, representando o cuidado e atenção que foi dedicada para criar um ambiente que estimule os sentidos.","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3660.208831658445!2d-46.84071412430448!3d-23.45293055761827!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x94cefdd3f1110261%3A0x80bbcc5f384ca747!2sEkko%20Live%203%20Alphaville!5e0!3m2!1spt-BR!2sbr!4v1699552144662!5m2!1spt-BR!2sbr"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",12,"a:2:{i:0;s:7:""3-vagas"";i:1;s:7:""2-vagas"";}",8,231130,"a:1:{i:0;s:7:""em-obra"";}"
231154,"Icon Residencial",apartamento,"R. Horácio Manley Lane, 153 - Raposo Tavares, Osasco - SP","R$ 500.000,00",osasco,"a:1:{i:0;s:9:""2-quartos"";}","Sinta-se em casa","Plantas com excelente aproveitamento de espaço e lazer completo.","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3656.465280063441!2d-46.811729799999995!3d-23.5876407!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x94ce5546deb4c97d%3A0x992b34ff18360095!2sR.%20Hor%C3%A1cio%20Manley%20Lane%2C%20153%20-%20Raposo%20Tavares%2C%20Osasco%20-%20SP%2C%2006149-000!5e0!3m2!1spt-BR!2sbr!4v1699561047654!5m2!1spt-BR!2sbr"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",3,"a:1:{i:0;s:6:""1-vaga"";}",6,231181,"a:1:{i:0;s:16:""breve-lancamento"";}"
